Date,Record Number,Record Type,Address,Description,Project Name,Status,Short Notes
1/28/2021,CE21-0070,Enforcement Case,"3499 INDUSTRIAL DR, SANTA ROSA CA 95403","Rise Cycle is reportedly holding classes inside.UPDATE 02-03-21: Additional Complaint received regarding homeless, trash & debris and vehicles",COVID Commercial,Closed,
1/28/2021,CE21-0069,Enforcement Case,"3565 INDUSTRIAL DR, SANTA ROSA CA 95403",Gym is not enforcing social distancing and is allowing people to use equipment inside.,COVID Commercial,Investigate,
1/27/2021,CE21-0068,Enforcement Case,"1950 BELMONT CT, SANTA ROSA CA 95404",Three large redwood trees on unmaintained lot pose a threat to neighbors.,ZRM - Residential Miscellaneous,Investigate,
1/27/2021,CE21-0067,Enforcement Case,"2799 YULUPA AVE, SANTA ROSA CA 95405",Gas station employee(s) running leaf blower between 11pm and 4am.,ZCM - Commercial Miscellaneous,Investigate,
1/27/2021,CE21-0066,Enforcement Case,"975 LEDDY AVE, A, SANTA ROSA CA 95407","No sewer connection, no proper electrical, black mold in walls inside and out, no proper piping (gutters, drain pipes).",HRS - Substandard Residential,In Progress,
1/27/2021,CE21-0065,Enforcement Case,"609 HEWETT ST, SANTA ROSA CA 95401",VEGITATION IN PUBLIC WAY. VEGITATION EXCEEDING SCREENING HEIGHT LIMIT. ACCUMULATION OF DEBRIS. RODENT HARBORAGE.,ZRM -  Residential Miscellaneous,Investigate,
1/27/2021,CE21-0064,Enforcement Case,"3412 LAKE PARK CT, SANTA ROSA CA 95403","Large, ""unsightly"" travel trailer parked in front of residence; trash being stacked up behind.","ZRTD, ZRVS - Residential Trash & Debris, Residential Vehicular",Investigate,
1/27/2021,CE21-0063,Enforcement Case,"3437 LAKE PARK CT, SANTA ROSA CA 95403",Two trailers parked in front that appear poorly maintained.,ZRVS - Residential Vehicular,Investigate,
1/27/2021,CE21-0062,Enforcement Case,"1717 YULUPA AVE, SANTA ROSA CA 95405",RADIATION FROM RF EQUIPMENT IN CHURCH TOWER,ZCM - Commercial Miscellaneous,Investigate,
1/27/2021,CE21-0061,Enforcement Case,"1080 JENNINGS AVE, 119, SANTA ROSA CA 95401",UNSANITARY LIVING CONDITIONS. RESIDENT COVID-19 POSITIVE. CURRENTLY VACANT,HRS - SUBSTANDARD RESIDENTIAL,In Progress,
1/27/2021,CE21-0060,Enforcement Case,"3712 TEXAS DR, SANTA ROSA CA 95405",CONCERN OF UNSTABLE TREE,ZRM - Residentail Miscellaneous,Investigate,
1/27/2021,CE21-0059,Enforcement Case,"1654 GUERNEVILLE RD, SANTA ROSA CA 95403","sewer box with 3"" pipe for over flow being dumped in to the ground",ECR - ENVIRONMENTAL CRIME RESIDENTIAL,Investigate,
1/27/2021,CE21-0058,Enforcement Case,"1663 TARKENTON CT, SANTA ROSA CA 95403",STRUCTURE FIRE,ECO - Emergency Call Out,In Progress,
1/26/2021,CE21-0057,Enforcement Case,"1038 KENMORE LN, SANTA ROSA CA 95407","Solar, electrical panel, transfer switch, siding, windows, garage conversion and kitchen remodel without permits. Stop Work Notice posted",BRNP- Building Residential- No Permit,Closed,
1/26/2021,CE21-0056,Enforcement Case,"915 PINER RD, G, SANTA ROSA CA 95403","Church is holding indoor services, exceeding capacity, and not enforcing mask wearing or social distancing.UPDATE 02-04-21: New complaint received",COVID Commercial,Investigate,
1/26/2021,CE21-0055,Enforcement Case,"115 TALBOT AVE, SANTA ROSA CA 95404",Complainant believes QQ Massage Spa is operational.,COVID - Commercial,Closed,
1/26/2021,CE21-0054,Enforcement Case,"1826 MORLEY WAY, SANTA ROSA CA 95404",Large Nomad trailer parked for 6+ months near the sidewalk in the front area of driveway.,ZRVS - Residential Vehicular,Investigate,
1/25/2021,CE21-0053,Enforcement Case,"1220 MCMINN AVE, SANTA ROSA CA 95407","Heavy, loud construction, including hammering outside neighbor's bedroom, jackhammering outside neighbor's sliding glass door, hack saw use 4-feet from neighbor's window starting as early as 8:00am or before.",ZRM - Residential Miscellaneous,Investigate,
1/25/2021,CE21-0052,Enforcement Case,"606 LA VERNE AVE, SANTA ROSA CA 95404","At least 5 dogs on property, intermittent barking all day and into the night.",ZRA - Residential Animal Violation,Closed,
1/25/2021,CE21-0051,Enforcement Case,"2051 W STEELE LN, SANTA ROSA CA 95403",Several tenants smoking in areas too close to the apartments. Smoking area on grounds is not far enough away from units. Next door neighbors smoking marijuana inside their unit; smoke carries into next door unit.,ZRM - Residential Miscellaneous,Closed,
1/25/2021,CE21-0050,Enforcement Case,"2297 W HEARN AVE, SANTA ROSA CA 95407","Residents play music at ""deafening levels"" which vibrates the inside of neighbor's house.",ZRM - Residential Miscellaneous,Investigate,
1/25/2021,CE21-0049,Enforcement Case,"2205 HUMBOLDT ST, SANTA ROSA CA 95404","Paved area next to 2211 Humboldt looks like an auto junkyard with trucks, moving vans, cars, and boats. They are using chemicals and machine exhaust has been noted.","ECC, ZRTD, ZRVS - Environmental Crime-Commercial, Residential Trash & Debris, Residential Vehicular",Investigate,
1/25/2021,CE21-0048,Enforcement Case,"2211 HUMBOLDT ST, SANTA ROSA CA 95404","Blight: Front yard looks like a junkyard with trucks, lumber, junk, palettes, tarp covered piles and more.","ZRTD, ZRVS - Residential Trash & Debris, Residential Vehicular",Investigate,
1/22/2021,CE21-0047,Enforcement Case,"524 JACKSON DR, SANTA ROSA CA 95409",Tree uplifting driveway causing water to drain onto neighbor's property,ZRM - Residential Miscellaneous,Investigate,
1/22/2021,CE21-0046,Enforcement Case,"43 MIDDLE RINCON RD, SANTA ROSA CA 95409",Employees at 7-11 store are not wearing masks.,COVID Commercial,Closed,
1/22/2021,CE21-0045,Enforcement Case,"2541 PAWNEE ST, SANTA ROSA CA 95403",CANNABIS CULTIVATION,CRR - CANNABIS RELATED RESPONSE,Closed,
1/22/2021,CE21-0044,Enforcement Case,"980 ASTON AVE, SANTA ROSA CA 95404",Rooster(s),ZRA - Residential Animal Violation,Closed,
1/22/2021,CE21-0043,Enforcement Case,"2220 FREMONT DR, SANTA ROSA CA 95409",Abandoned building in poor condition; wind knocked fence into neighbor's property.Overgrown trees and vegetation.,"VAC, ZRM - Vacant and/or Abandoned Bldg., Residential Miscellaneous",Investigate,
1/21/2021,CE21-0042,Enforcement Case,"2200 PINER RD, SANTA ROSA CA 95403",Homeless encampment leaving trash & debris on property and recently caused a brush fire.,"ZRTD - Residential Trash & Debris, Homeless Encampment",Investigate,
1/21/2021,CE21-0041,Enforcement Case,"921 QUIETO CALLE, SANTA ROSA CA 95409",Overgrown vegetation,ZRM - Residential Miscellaneous,Closed,
1/21/2021,CE21-0040,Enforcement Case,"3270 MENDOCINO AVE, 2A, SANTA ROSA CA 95403",Tenant is operating a massage parlor and does not enforce mask wearing/doesn't wear a mask.,COVID Commercial,Closed,
1/19/2021,CE21-0039,Enforcement Case,"1258 EDWARDS AVE, SANTA ROSA CA 95401","Rooster, coop in setback, sanitation, rabbits kept for livestock purposes",ZRA - Residentail Animal Violation,Investigate,
1/19/2021,CE21-0038,Enforcement Case,"5120 MONTECITO AVE, SANTA ROSA CA 95404","Tree fell onto the structure at 5122 causing significant damage. The entire kitchen wing, exterior deck and overhang were completely destroyed.",ECO - Emergency Call Out,In Progress,
1/19/2021,CE21-0037,Enforcement Case,"2177 DENNIS LN, SANTA ROSA CA 95403",High winds caused neighbor's metal carport to flip and land upside-down in the yard at 2177.  Appx. 40-feet of fencing was damaged. There was no damage to 2177 Dennis Lane.,ECO - Emergency Call Out,Closed,
1/15/2021,CE21-0036,Enforcement Case,"1080 JENNINGS AVE, 104, SANTA ROSA CA 95401","Multiple cats and ""mass items"" in unit; cats defecate on everything causing a terrible odor to fill first floor of building","HRS, ZRA - Substandard Residential, Residential Animal Violation",In Progress,
1/15/2021,CE21-0035,Enforcement Case,"2309 SUNDANCE ST, SANTA ROSA CA 95403",People living in residence. Home in a state of disrepair even though rebuild permit (fire) has been issued.,"VAC, HRS - Vacant and/or Abandoned Bldg., Substandard Residential",Investigate,
1/15/2021,CE21-0034,Enforcement Case,"2713 COMANCHE ST, SANTA ROSA CA 95403",Inhabited structure in the backyard built without benefit of permit(s),"HRIL, BRNP - Illegal Residential Unit, Building Residential No Permit",Closed,
1/15/2021,CE21-0033,Enforcement Case,"3241 MONTGOMERY DR, SANTA ROSA CA 95405","Owner neglects to put trash and debris receptacles out for collection. Bins are overflowing and neighbors are concerned about rodents, cockroaches, odor.",ZRM - Residential Miscellaneous,Investigate,
1/15/2021,CE21-0032,Enforcement Case,"2513 MIWOK CT, SANTA ROSA CA 95403",Rooster,ZRA - Residential Animal Violation,Closed,
1/15/2021,CE21-0031,Enforcement Case,"910 SUMMERFIELD RD, SANTA ROSA CA 95405","Residents are conducting blacksmith-type work with the help of a large kiln, 5-foot tall propane tank, metal, a hammer, and more. Sparks fly with no fire suppression equipment causing a fire hazard.",ZRHO - Home Occupation,Investigate,
1/14/2021,CE21-0030,Enforcement Case,"1525 HEARN AVE, SANTA ROSA CA 95407","New windows, siding, electrical panel and tankless water heater without permits.",BRNP- Building Residential- No Permit,Investigate,
1/14/2021,CE21-0029,Enforcement Case,"3753 OREGON DR, SANTA ROSA CA 95405",SWO- windows and siding without permits,BRNP- Building Residential - No Permit,Closed,
1/14/2021,CE21-0028,Enforcement Case,"3769 OREGON DR, SANTA ROSA CA 95405",SWO issued 1/14/21: Replacing windows and siding without permit,BRNP- Building Residential- No Permit,Closed,
1/14/2021,CE21-0027,Enforcement Case,"5726 RATERS DR, SANTA ROSA CA 95409",Car and its body parts in driveway for months.,ZRVS - Residential Vehicular,Investigate,
1/14/2021,CE21-0026,Enforcement Case,"3225 CHEROKEE AVE, SANTA ROSA CA 95403",Rooster,ZRA - Residential Animal Violation,Closed,
1/14/2021,CE21-0025,Enforcement Case,"1227 KAWANA TER, SANTA ROSA CA 95404","Garbage, mattresses, furniture, tires and other miscellaneous debris piling up on property",ZRTD - Residential Trash & Debris,Investigate,
1/14/2021,CE21-0024,Enforcement Case,"1216 ALBERT DR, SANTA ROSA CA 95405",Rat infestation has damaged new heating/ducting leaving tenant(s) with little to no heat.,HRS - Substandard Residential,Closed,
1/14/2021,CE21-0023,Enforcement Case,"101 GILBERT DR, SANTA ROSA CA 95405",Running a business out of a residential property,ZRHO - Home Occupatoin,Investigate,
1/14/2021,CE21-0022,Enforcement Case,"732 MILL ST, SANTA ROSA CA 95404",Mattress and box spring in the middle of the sidewalk,ZRTD - Residential Trash & Debris,Investigate,
1/14/2021,CE21-0021,Enforcement Case,"1229 WANDA WAY, SANTA ROSA CA 95405",Removal of Redwood tree(s) without benefit of a permit.,TREE - Tree Violation,Investigate,
1/13/2021,CE21-0020,Enforcement Case,"1067 4TH ST, SANTA ROSA CA 95404","Complainant states there were several issues present while he lived here, including:Rats in the walls, leading to mite and flea issues; broken windows/windows with gaps; holes in walls and ceiling; water damage leaks and mold; rooms not up to code; surrounding trees overgrown and at risk of damaging property; no carbon monoxide detector; unsafe flooring; collapsing back balcony.",HRS - Substandard Residential,In Progress,
1/13/2021,CE21-0019,Enforcement Case,"2037 ZINFANDEL AVE, 312, SANTA ROSA CA 95403",Mold found in a cabinet; complainant suspects there is more mold in the unit.,HRS - Substandard Residential,Investigate,
1/13/2021,CE21-0018,Enforcement Case,"2473 CHANATE RD, SANTA ROSA CA 95404","Ivy encroaching into public right of way, about half of the sidewalk.",ZRM - Residential Miscellaneous,Closed,
1/13/2021,CE21-0017,Enforcement Case,"1828 AUSTIN WAY, SANTA ROSA CA 95404",Refrigerator and miscellaneous refuse on alley side street.,ZRTD - Residential Trash & Debris,Investigate,
1/8/2021,CE21-0016,Enforcement Case,"424 GOODMAN AVE, SANTA ROSA CA 95407",TRASH ACCUMULATING ON EXTERIOR OF RESIDENCE,ZRTD - Residential Trash and Debris,Closed,
1/8/2021,CE21-0015,Enforcement Case,,"HOMELESS ENCAMPMENT AD END OF APPLETREE DRIVE, NORTH OF FULTON MARKETPLACE.",ZCTD - COMMERCIAL TRASH AND DEBRIS,Investigate,
1/8/2021,CE21-0014,Enforcement Case,"2825 BIGHORN SHEEP ST, SANTA ROSA CA 95407",SMOKE FROM BBQ SMOKER GOING INTO NEIGHBORING HOUSE,ZRM - Residentail Miscellaneous,Investigate,
1/7/2021,CE21-0013,Enforcement Case,"946 W COLLEGE AVE, SANTA ROSA CA 95401",Vehicle into building,BCNP - Building Commercial No Permit,In Progress,
1/7/2021,CE21-0012,Enforcement Case,"801 TUPPER ST, SANTA ROSA CA 95404",Accumulation of discarded furniture at curb.UPDATE 1/11/21: Water shut-off due to pipe repairs.,BCNP - Building Commercial - No Permit; ZRTD - Residential Trash and Debris,Closed,
1/7/2021,CE21-0011,Enforcement Case,"926 W COLLEGE AVE, SANTA ROSA CA 95401",Vehicle into the structure,ECO - Emergency Call Out,Investigate,
1/6/2021,CE21-0010,Enforcement Case,"2244 HIBISCUS DR, SANTA ROSA CA 95404",POLITICAL SIGN DISPLAYED MORE THAN 15 DAYS AFTER THE ELECTION.,ZRM - Residential Miscellaneous,Closed,
1/6/2021,CE21-0009,Enforcement Case,"315 TALBOT AVE, SANTA ROSA CA 95405","CAR REPAIR BEING DONE ON THE STREET, CARS ARE LEAKING OIL ON THE STREET.",ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
1/6/2021,CE21-0008,Enforcement Case,"1521 HEATHER DR, SANTA ROSA CA 95401",Negligence of tree maintenance,ZRM - Residential Miscellaneous,Investigate,
1/6/2021,CE21-0007,Enforcement Case,"2634 FIR PARK WAY, SANTA ROSA CA 95404","Resident has rotating light that shines through neighbor's bedroom window, even at night.01/26/2021 REOPEN: Bright lights strung from the eaves of their home and well as blinking lights on a tree.",ZRM - Residential Miscellaneous,In Progress,
1/6/2021,CE21-0006,Enforcement Case,"1820 GUERNEVILLE RD, SANTA ROSA CA 95401",Negligence of tree maintenance.,ZCM - Commercial Miscellaneous,Closed,
1/6/2021,CE21-0005,Enforcement Case,"3941 GOLDEN GATE AVE, SANTA ROSA CA 95407",Structure fire requiring full lead and asbestos testing before building permits for full remodel can be obtained.,ECO - Emergency Call Out,Investigate,
1/5/2021,CE21-0004,Enforcement Case,"1145 ORCHARD ST, SANTA ROSA CA 95404",SWO ISSUED 1/5/21: INSTALLATION OF WINDOWS & SLIDER DOOR WITHOUT PERMITS. ADD ONE WALL OF DRYWALL SHEETROCK FOR REMOVAL OF DRYWALL IN GARAGE SURROUNDING ELECTRICAL PANEL.,SWO - STOP WORK ORDER; BRNP - BUILDING RESIDENTIAL - NO PERMITS,Closed,
1/4/2021,CE21-0003,Enforcement Case,"2001 PINER RD, 158, SANTA ROSA CA 95403",KITCHEN FIRE,HRS - SUBSTANDARD RESIDENTIAL,Investigate,
1/4/2021,CE21-0002,Enforcement Case,"800 ACACIA LN, SANTA ROSA CA 95409",TRASH AND DEBRIS THROUGHOUT THE PREMISES; STORAGE OF CARS AND TRAILER.UPDATE 1/4/21: ANOTHER INVESTIGATION REQUEST RECEIVED.,ZRTD - RESIDENTIAL TRASH AND DEBRIS; ZRVS - RESIDENTIAL VEHICULAR,Investigate,
1/4/2021,CE21-0001,Enforcement Case,"921 SEBASTOPOL RD, SANTA ROSA CA 95407","INADEQUATE PARKING CREATING HAZARDOUS CONDITIONS FOR DRIVERS, CREATING A NUISANCE, AND OBSTRUCTION OF EASEMENT.",ZCM - COMMERCIAL MISCELLANEOUS,In Progress,
12/31/2020,CE20-0973,Enforcement Case,"100 FOUNTAINGROVE PKWY, SANTA ROSA CA 95403",Guests are smoking outside in front of entrances causing other guests to have to walk through the smoke to enter.,ZCM - Commercial Miscellaneous,Closed,
12/31/2020,CE20-0972,Enforcement Case,"2661 SANTA ROSA AVE, SANTA ROSA CA 95407",Jobsite toilet and wastewater tank from jobsite trailer is in the parking lot.,ZCM - Commercial Miscellaneous,Investigate,
12/30/2020,CE20-0971,Enforcement Case,"3451 LAKE PARK DR, SANTA ROSA CA 95403",Burned storm drain system.,ECR - Environmental Crime - Residential,In Progress,
12/30/2020,CE20-0970,Enforcement Case,"2951 TACHEVAH DR, 15, SANTA ROSA CA 95405",Mold; linoleum peeling away from bathtub; carpet lifting by back door; cracks in the walls and foundation.,HRS - Substandard Residential,Closed,
12/30/2020,CE20-0969,Enforcement Case,"641 OAK ST, SANTA ROSA CA 95404",New windows being installed in historic preservation district without Landmark Alteration or Building Permit.,BRNP - Building Residential No Permit,Investigate,
